symbol,current_price,currency,beta,smb_score,hml_score,rmw_score,cma_score,volatility,composite_score,market_cap,pbr,market_cap_usd
NMR,6.110000133514404,USD,1.0,0,0,0,0,0.37471575290195946,0.3,N/A,N/A,
NMRA,0.7524999976158142,USD,1.61,1,1,0,-1,1.0811621007305912,0.733,115617000.0,0.53,115617000.0
NMRK,11.074999809265137,USD,1.0,0,0,0,0,0.3890061102006997,0.3,N/A,N/A,
NMS,11.383299827575684,USD,1.0,0,0,0,1,0.11767783006189708,0.44999999999999996,N/A,N/A,
NMT,12.029999732971191,USD,1.0,0,0,0,1,0.11086595783501345,0.44999999999999996,N/A,N/A,
NMTC,0.5508000254631042,USD,0.72,1,-1,0,-1,0.9669338271933361,0.06600000000000003,29537000.0,6.24,29537000.0
NMZ,10.319999694824219,USD,1.0,0,0,0,1,0.13155081018712145,0.44999999999999996,N/A,N/A,
NN,11.479999542236328,USD,1.0,0,0,0,-1,0.7075952531283555,0.15,N/A,N/A,
NNBR,2.115000009536743,USD,1.0,0,0,0,-1,0.6858239462345948,0.15,N/A,N/A,
NNDM,1.524999976158142,USD,1.13,1,1,0,-1,0.5286577322365339,0.5889999999999999,334616000.0,0.39,334616000.0
NNE,28.920000076293945,USD,0.95,1,-1,0,-1,1.7948023059253204,0.13499999999999998,1198000000.0,9.07,1198000000.0
NNI,115.41999816894531,USD,0.95,0,0,0,0,0.25383214092065376,0.285,4222000000.0000005,1.23,4222000000.0000005
NNN,41.23500061035156,USD,0.92,0,0,0,0,0.2034893538224698,0.276,7811000000.0,1.79,7811000000.0
NNNN,8.198399543762207,USD,1.0,0,0,0,-1,0.5929504892344799,0.15,N/A,N/A,
NNOX,5.315000057220459,USD,1.98,1,0,0,-1,0.8091022424333952,0.644,333774000.0,1.88,333774000.0
NNVC,1.5699000358581543,USD,0.69,1,0,0,-1,0.969837005503279,0.257,23626000.0,2.67,23626000.0
NNY,8.170000076293945,USD,1.0,0,0,0,1,0.06749359026260637,0.44999999999999996,N/A,N/A,
NOA,17.649999618530273,USD,1.35,1,0,0,0,0.3876707655493752,0.605,518061000.00000006,1.79,518061000.00000006
NOAH,10.755000114440918,USD,1.0,0,0,0,-1,0.5726590483636212,0.15,N/A,N/A,
NOC,491.6300048828125,USD,0.14,-1,-1,0,0,0.25468361078740703,-0.358,70269000000.0,4.69,70269000000.0
NODK,13.0,USD,0.38,1,0,0,0,0.2771736764792016,0.314,266184000.00000003,1.05,266184000.00000003
NOEM,10.0,USD,1.0,0,0,0,1,0.028557764972969267,0.44999999999999996,N/A,N/A,
